会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接作业员-奖金,45010116,1,,,,56019925,管理费用-异状费-色粉色母耗用损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接作业员-劳务派遣,45010117,1,,,,56019928,管理费用-异状费-暂报废留库
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接专业-基本薪资,45010101,1,,,,56019929,管理费用-异状费-包装差异
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接专业-加班费,45010102,1,,,,56019930,管理费用-异状费-外发回重检包装差异
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接专业-奖金,45010103,1,,,,56019931,管理费用-异状费-成品返电差异
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接一般-基本薪资,45010104,1,,,,56019932,管理费用-异状费-洗油差异
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接一般-加班费,45010105,1,,,,56019933,管理费用-异状费-换算差异
制造费用-薪资支出-间接人工,a023,制造费用-薪资支出-间接一般-奖金,45010106,1,,,,56019934,管理费用-异状费-外包未回损失
人工损益,a024,制造费用-标准-直接人工,45000102,0.8,,,,56019935,管理费用-异状费-借还货
人工损益,a024,制造费用-WIP-直接人工,45000202,0.8,,,,56019981,管理费用-异状费-嘉联与国联对账差额
人工损益,a024,实际扫描-间接人工收入,8999011101,1,,,,56019982,管理费用-异状费-嘉联与力投对账差额
人工损益,a024,制造费用-薪资支出,450101,-1,,,,56019983,管理费用-异状费-嘉联与力顿对账差额
直接人工-差数,a025,制造费用-标准-直接人工,45000102,0.8,,,,56019984,管理费用-异状费-力顿与力投对账差额
直接人工-差数,a025,制造费用-WIP-直接人工,45000202,0.8,,,,56019985,管理费用-异状费-力投与国联对账差额
直接人工-差数,a025,制造费用-直接人工差异-结转,45000301,1,,,,56019999,管理费用-历史年度制造损益（含材料成本差异）
直接人工-差数,a025,制造费用-薪资支出,450101,1,,,,a010,管理损益
